"","Module","Name","P_D","CLASS","b_mass","MStem","Flength","c","z","Main.Class","order","Biog"
"90",19,"Deroptyus accipitrinus","D","BIRDS",246,NA,NA,0.5,NA,"BDE","Psittaciformes","Neotropics"
"103",25,"Didelphis albiventris","D","MAMMAL",904.003,NA,NA,0.666666666666667,0,"MDE","Didelphimorphia","Neotropics"
"24",9,"Didelphis aurita","D","MAMMAL",1163.992,NA,NA,0.666666666666667,0,"MDE","Didelphimorphia","Neotropics"
"79",18,"Didelphis marsupialis","D","MAMMAL",1091.164,NA,NA,0.777777777777778,-0.341230649509073,"MDE","Didelphimorphia","Neotropics"
"223",58,"Eira barbara","D","MAMMAL",3910.029,NA,NA,0.666666666666667,0,"MXDE","Carnivora","Neotropics"
"188",47,"Electrophorus electricus","D","FISH",NA,NA,NA,0,0,"BDE","Gymnotiformes","Neotropics"
"162",46,"Euphonia pectoralis","D","BIRDS",14.4,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"273",68,"Euphonia violacea","D","BIRDS",15,NA,NA,0.5,0,"MXDE","Passeriformes","Neotropics"
"5",2,"Euphractus sexcinctus","D","MAMMAL",4782.886,NA,NA,0,0,"MDE","Cingulata","Neotropics"
"274",68,"Euryoryzomys russatus","D","MAMMAL",60.501,NA,NA,0,0,"MXDE","Rodentia","Neotropics"
"56",16,"Geochelone denticulata","D","REPTILES",NA,NA,NA,0.5,-0.957427107756338,"MDE","Testudines","Neotropics"
"206",55,"Gnorimopsar chopi","D","BIRDS",65.9,NA,NA,0,0,"MXDE","Passeriformes","Neotropics"
"68",17,"Handleyomys alfaroi","D","MAMMAL",33.3,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"207",55,"Heteromys anomalus","D","MAMMAL",70,NA,NA,0,0,"MXDE","Rodentia","Neotropics"
"99",22,"Heteromys desmarestianus","D","MAMMAL",72.5,NA,NA,0.56,NA,"MDE","Rodentia","Neotropics"
"104",25,"Hylaeamys megacephalus","D","MAMMAL",57.8,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"105",25,"Hylaeamys oniscus","D","MAMMAL",60.501,NA,NA,0.5,0,"MDE","Rodentia","Neotropics"
"264",66,"Lagothrix lagotricha","D","MAMMAL",6299.992,NA,NA,0.5,0,"MXDE","Primates","Neotropics"
"275",68,"Leontopithecus chrysopygus","D","MAMMAL",700.003,NA,NA,0,0,"MXDE","Primates","Neotropics"
"224",58,"Leopardus pardalis","D","MAMMAL",11900.083,NA,NA,0,0,"MXDE","Carnivora","Neotropics"
"40",15,"Leporinus friederici","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
