"","Module","Name","P_D","CLASS","b_mass","MStem","Flength","c","z","Main.Class","order","Biog"
"193",48,"Steatornis caripensis","D","BIRDS",408,NA,NA,0.5,0,"BDE","Caprimulgiformes","Neotropics"
"174",46,"Tachyphonus coronatus","D","BIRDS",29.3,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"175",46,"Tangara cayana","D","BIRDS",18,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"176",46,"Tangara cyanocephala","D","BIRDS",18,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"177",46,"Tangara cyanoptera","D","BIRDS",21.53,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"178",46,"Tangara seledon","D","BIRDS",18.7,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"88",18,"Tapirus bairdii","D","MAMMAL",299999.133,NA,NA,0.666666666666667,0.341230649509073,"MDE","Perissodactyla","Neotropics"
"98",21,"Tapirus terrestris","D","MAMMAL",207500.907,NA,NA,0.875739644970414,2.04124145231932,"MDE","Perissodactyla","Neotropics"
"36",13,"Tayassu pecari","D","MAMMAL",32233.688,NA,NA,0.903047091412742,0.577350269189626,"MXDE","Artiodactyla","Neotropics"
"9",3,"Thraupis episcopus","D","BIRDS",35,NA,NA,0,NA,"BDE","Passeriformes","Neotropics"
"179",46,"Thraupis ornata","D","BIRDS",33,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"212",55,"Thraupis palmarum","D","BIRDS",39,NA,NA,0,0,"MXDE","Passeriformes","Neotropics"
"21",8,"Thraupis sayaca","D","BIRDS",32.49,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"180",46,"Tinamus solitarius","D","BIRDS",1386.41,NA,NA,0,0,"BDE","Tinamiformes","Neotropics"
"181",46,"Tityra cayana","D","BIRDS",68.1,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"54",15,"Tocantisia piresi","D","FISH",NA,NA,NA,0,0,"FDE","Siluriformes","Neotropics"
"146",40,"Tolypeutes matacus","D","MAMMAL",1199.997,NA,NA,0,0,"MXDE","Cingulata","Neotropics"
"182",46,"Triclaria malachitacea","D","BIRDS",90,NA,NA,0,0,"BDE","Psittaciformes","Neotropics"
"13",4,"Trinomys eliasi","D","MAMMAL",245.2174,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"14",4,"Trinomys iheringi","D","MAMMAL",203.498,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"55",15,"Triportheus ","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"126",33,"Triportheus angulatus","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"127",33,"Triportheus culter","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"183",46,"Trogon viridis","D","BIRDS",89.69,NA,NA,0,0,"BDE","Trogoniformes","Neotropics"
"152",43,"Tupinambis meriane","D","REPTILES",NA,NA,NA,0.875,0,"BDE","Squamata","Neotropics"
"184",46,"Turdus albicollis","D","BIRDS",54,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"185",46,"Turdus amaurochalinus","D","BIRDS",57.9,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"186",46,"Turdus flavipes","D","BIRDS",65.14,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"153",43,"Turdus leucomelas","D","BIRDS",69.1,NA,NA,0.666666666666667,0,"BDE","Passeriformes","Neotropics"
"261",65,"Turdus migratorius","D","BIRDS",78.5,NA,NA,0,0,"MXDE","Passeriformes","Neotropics"
"187",46,"Turdus nigriceps","D","BIRDS",52.7,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"253",61,"Turdus plumbeus","D","BIRDS",75.3,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"22",8,"Turdus rufiventris","D","BIRDS",69.44,NA,NA,0.666666666666667,0,"BDE","Passeriformes","Neotropics"
"254",61,"Tyrannus dominicensis","D","BIRDS",46.5,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"89",18,"Urocyon cinereoargenteus","D","MAMMAL",3833.717,NA,NA,0,-1.02369194852722,"MDE","Carnivora","Neotropics"
"262",65,"Ursus americanus","D","MAMMAL",99949.356,NA,NA,0,0,"MXDE","Carnivora","Neotropics"
"147",40,"Zenaida auriculata","D","BIRDS",110.2,NA,NA,0,0,"MXDE","Columbiformes","Neotropics"
